Name;Größe;Vorname;Nachname;Downloads;Datum;Pfad
01-Aufgabenblatt-BWL-AI-TS.pdf;598968;Holger;Hünemohr;392;"10.11.2020 18:43";Übungen-Aufgabenblätter/01-Aufgabenblatt-BWL-AI-TS.pdf
02-Aufgabenblatt-BWL-AI-TS.pdf;1097048;Holger;Hünemohr;313;"12.11.2020 14:04";Übungen-Aufgabenblätter/02-Aufgabenblatt-BWL-AI-TS.pdf
03-Aufgabenblatt-BWL-AI-TS.pdf;1511330;Holger;Hünemohr;323;"18.11.2020 18:59";Übungen-Aufgabenblätter/03-Aufgabenblatt-BWL-AI-TS.pdf
04-Aufgabenblatt-BWL-AI-TS.pdf;1004824;Holger;Hünemohr;267;"26.11.2020 09:49";Übungen-Aufgabenblätter/04-Aufgabenblatt-BWL-AI-TS.pdf
04-Aufgabenblatt-BWL-AI-TS.pptx;1409128;Holger;Hünemohr;109;"26.11.2020 09:49";Übungen-Aufgabenblätter/04-Aufgabenblatt-BWL-AI-TS.pptx
05-Aufgabenblatt-BWL-AI-TS.pdf;1088232;Holger;Hünemohr;258;"02.12.2020 20:08";Übungen-Aufgabenblätter/05-Aufgabenblatt-BWL-AI-TS.pdf
05-Aufgabenblatt-BWL-AI-TS.pptx;1488049;Holger;Hünemohr;44;"02.12.2020 20:08";Übungen-Aufgabenblätter/05-Aufgabenblatt-BWL-AI-TS.pptx
06-Aufgabenblatt-BWL-AI-TS.pdf;1287623;Holger;Hünemohr;266;"10.12.2020 17:59";Übungen-Aufgabenblätter/06-Aufgabenblatt-BWL-AI-TS.pdf
06-Aufgabenblatt-BWL-AI-TS.pptx;1685455;Holger;Hünemohr;17;"10.12.2020 17:59";Übungen-Aufgabenblätter/06-Aufgabenblatt-BWL-AI-TS.pptx
07-Aufgabenblatt-BWL-AI-TS.pdf;1127845;Holger;Hünemohr;160;"28.12.2020 19:12";Übungen-Aufgabenblätter/07-Aufgabenblatt-BWL-AI-TS.pdf
07-Aufgabenblatt-BWL-AI-TS.pptx;1516773;Holger;Hünemohr;9;"28.12.2020 19:12";Übungen-Aufgabenblätter/07-Aufgabenblatt-BWL-AI-TS.pptx
01-BWL-2020-AI-TS.pdf;2123489;Holger;Hünemohr;321;"10.11.2020 19:04";Vorlesung-Folien/01-BWL-2020-AI-TS.pdf
02-BWL-2020-AI-TS.pdf;3043246;Holger;Hünemohr;137;"17.11.2020 18:55";Vorlesung-Folien/02-BWL-2020-AI-TS.pdf
03-BWL-2020-AI-TS.pdf;2727291;Holger;Hünemohr;109;"24.11.2020 19:38";Vorlesung-Folien/03-BWL-2020-AI-TS.pdf
04-BWL-2020-AI-TS.pdf;4052199;Holger;Hünemohr;107;"01.12.2020 19:37";Vorlesung-Folien/04-BWL-2020-AI-TS.pdf
05-BWL-2020-AI-TS.pdf;2903443;Holger;Hünemohr;70;"09.12.2020 09:53";Vorlesung-Folien/05-BWL-2020-AI-TS.pdf
06-BWL-2020-AI-TS.pdf;2987800;Holger;Hünemohr;64;"16.12.2020 10:52";Vorlesung-Folien/06-BWL-2020-AI-TS.pdf
