Name;Größe;Vorname;Nachname;Downloads;Datum;Pfad
Bl_06.pdf;33758;Heinz;Werntges;505;"17.11.2019 23:52";?bungsaufgaben/Bl_06.pdf
Bl_07.pdf;20846;Heinz;Werntges;444;"24.11.2019 19:32";?bungsaufgaben/Bl_07.pdf
Bl_08.pdf;30657;Heinz;Werntges;396;"02.12.2019 01:02";?bungsaufgaben/Bl_08.pdf
Bl_10.pdf;59976;Heinz;Werntges;354;"18.12.2019 14:35";?bungsaufgaben/Bl_10.pdf
Bl_11.pdf;24652;Heinz;Werntges;379;"13.01.2020 20:35";?bungsaufgaben/Bl_11.pdf
Bl_13.pdf;17181;Heinz;Werntges;161;"30.01.2020 18:32";?bungsaufgaben/Bl_13.pdf
Bl_01.pdf;52846;Heinz;Werntges;787;"16.10.2019 14:51";Praktikumsaufgaben/Bl_01.pdf
Bl_02.pdf;26188;Heinz;Werntges;544;"23.10.2019 00:05";Praktikumsaufgaben/Bl_02.pdf
Bl_03.pdf;47085;Heinz;Werntges;503;"01.11.2019 00:27";Praktikumsaufgaben/Bl_03.pdf
Bl_04.pdf;54297;Heinz;Werntges;492;"06.11.2019 19:10";Praktikumsaufgaben/Bl_04.pdf
Bl_05.pdf;126953;Heinz;Werntges;307;"13.11.2019 22:31";Praktikumsaufgaben/Bl_05.pdf
Bl_09.pdf;44790;Heinz;Werntges;382;"09.12.2019 12:28";Praktikumsaufgaben/Bl_09.pdf
Bl_0V.pdf;47344;Heinz;Werntges;500;"09.10.2019 15:09";Praktikumsaufgaben/Bl_0V.pdf
Bl_12.pdf;583673;Heinz;Werntges;216;"21.01.2020 20:23";Praktikumsaufgaben/Bl_12.pdf
