Name;Größe;Vorname;Nachname;Downloads;Datum;Pfad
00_Einfuehrung_in_die_SWT_Vorlesung.pdf;4722958;Manuel;Dudda;98;"05.11.2020 13:39";00_Einfuehrung_in_die_SWT_Vorlesung.pdf
01a_SWT_Einfuehrung.pdf;6338598;Manuel;Dudda;67;"05.11.2020 13:39";01a_SWT_Einfuehrung.pdf
01b_Anfang.pdf;2366384;Manuel;Dudda;52;"12.11.2020 13:26";01b_Anfang.pdf
02_UML_Einfuehrung_und_Objektdiagramm.pdf;5522661;Manuel;Dudda;125;"09.11.2020 12:08";02_UML_Einfuehrung_und_Objektdiagramm.pdf
03_UML_02_Klassendiagramm.pdf;6781937;Manuel;Dudda;98;"16.11.2020 13:50";03_UML_02_Klassendiagramm.pdf
04_UML_03_Zustandsdiagramme.pdf;3822912;Manuel;Dudda;86;"23.11.2020 22:15";04_UML_03_Zustandsdiagramme.pdf
04a_GIT.pdf;1213907;Manuel;Dudda;62;"26.11.2020 19:08";04a_GIT.pdf
05_UML_04_Aktivitaetsdiagramme.pdf;717644;Manuel;Dudda;81;"07.12.2020 19:22";05_UML_04_Aktivitaetsdiagramme.pdf
06_UML_05_Interaktionsdiagramme.pdf;895218;Manuel;Dudda;83;"17.12.2020 10:47";06_UML_05_Interaktionsdiagramme.pdf
07_ProgrammierenImGrossen_I_Einfuehrung_und_Analyse.pdf;1385609;Manuel;Dudda;92;"06.01.2021 20:54";07_ProgrammierenImGrossen_I_Einfuehrung_und_Analyse.pdf
08_ProgrammierenImGrossen_III_Grobentwurf.pdf;794235;Manuel;Dudda;70;"14.01.2021 10:08";08_ProgrammierenImGrossen_III_Grobentwurf.pdf
09_ProgrammierenImGrossen_IV_Feinentwurf.pdf;697367;Manuel;Dudda;63;"14.01.2021 13:19";09_ProgrammierenImGrossen_IV_Feinentwurf.pdf
10_ProgrammierenImGrossen_V_Muster.pdf;11980711;Manuel;Dudda;42;"26.01.2021 16:09";10_ProgrammierenImGrossen_V_Muster.pdf
10b_Testen.pdf;7723538;Manuel;Dudda;25;"28.01.2021 14:09";10b_Testen.pdf
11_ProgrammierenImGrossen_VI_Testen.pdf;1613581;Manuel;Dudda;4;"01.02.2021 19:38";11_ProgrammierenImGrossen_VI_Testen.pdf
RobustnessAnalysis.pdf;206187;Manuel;Dudda;35;"14.01.2021 13:08";RobustnessAnalysis.pdf
